diabetes;15;15;71,61458333333333
diabetes;15;15;66,53645833333333
diabetes;15;15;66,53645833333333
diabetes;15;15;66,53645833333333
diabetes;15;15;69,27083333333333
diabetes;15;15;72,265625
diabetes;15;15;72,52604166666667
diabetes;15;15;71,74479166666667
diabetes;15;15;69,79166666666667
diabetes;15;15;68,359375
diabetes;15;15;70,44270833333333
diabetes;15;15;72,91666666666667
diabetes;15;15;71,35416666666667
diabetes;15;15;70,83333333333333
diabetes;15;20;72,91666666666667
diabetes;15;20;68,09895833333333
diabetes;15;15;74,34895833333333
diabetes;15;20;74,34895833333333
diabetes;15;20;66,27604166666667
diabetes;15;20;67,1875
diabetes;15;20;66,015625
diabetes;15;20;65,75520833333333
diabetes;15;20;68,22916666666667
diabetes;15;20;61,328125
diabetes;15;20;67,44791666666667
diabetes;15;20;66,015625
diabetes;15;20;69,66145833333333
diabetes;15;20;67,70833333333333
diabetes;15;20;70,96354166666667
diabetes;15;20;64,0625
diabetes;15;50;74,73958333333333
diabetes;15;50;71,61458333333333
diabetes;15;50;73,046875
diabetes;15;50;64,84375
diabetes;15;50;70,3125
diabetes;15;50;72,91666666666667
diabetes;15;50;69,66145833333333
diabetes;15;50;72,52604166666667
diabetes;15;50;72,265625
diabetes;15;50;74,34895833333333
diabetes;15;50;70,44270833333333
diabetes;15;50;76,171875
diabetes;15;50;71,484375
diabetes;15;50;74,21875
diabetes;15;50;73,046875
diabetes;15;100;68,48958333333333
diabetes;15;100;73,56770833333333
diabetes;15;100;70,05208333333333
diabetes;15;100;66,66666666666667
diabetes;15;100;68,75
diabetes;15;100;73,56770833333333
diabetes;15;100;69,53125
diabetes;15;100;71,22395833333333
diabetes;15;100;72,65625
diabetes;15;100;72,39583333333333
diabetes;15;100;70,44270833333333
diabetes;15;100;73,69791666666667
diabetes;15;100;66,14583333333333
diabetes;15;100;72,39583333333333
diabetes;15;100;70,05208333333333
diabetes;15;200;74,08854166666667
diabetes;15;200;71,22395833333333
diabetes;15;200;74,86979166666667
diabetes;15;200;73,30729166666667
diabetes;15;200;70,05208333333333
diabetes;15;200;66,14583333333333
diabetes;15;200;73,69791666666667
diabetes;15;200;68,88020833333333
diabetes;15;200;66,53645833333333
diabetes;15;200;72,13541666666667
diabetes;15;200;67,83854166666667
diabetes;15;200;67,578125
diabetes;15;200;74,34895833333333
diabetes;15;200;68,48958333333333
diabetes;15;200;73,828125
diabetes;15;500;73,17708333333333
diabetes;15;500;74,08854166666667
diabetes;15;500;69,01041666666667
diabetes;15;500;73,95833333333333
diabetes;15;500;73,17708333333333
diabetes;15;500;69,921875
diabetes;15;500;73,046875
diabetes;15;500;66,92708333333333
diabetes;15;500;67,96875
diabetes;15;500;66,66666666666667
diabetes;15;500;71,35416666666667
diabetes;15;500;69,53125
diabetes;15;500;70,18229166666667
diabetes;15;500;71,22395833333333
diabetes;15;1000;73,56770833333333
diabetes;15;500;74,34895833333333
diabetes;15;1000;73,30729166666667
diabetes;15;1000;74,08854166666667
diabetes;15;1000;70,57291666666667
diabetes;15;1000;71,22395833333333
diabetes;15;1000;71,875
diabetes;15;1000;73,30729166666667
diabetes;15;1000;72,00520833333333
diabetes;15;1000;73,30729166666667
diabetes;15;1000;72,13541666666667
diabetes;15;1000;72,39583333333333
diabetes;15;1000;70,83333333333333
diabetes;20;15;73,17708333333333
diabetes;20;15;69,140625
diabetes;20;15;65,49479166666667
diabetes;20;15;68,75
diabetes;20;15;73,828125
diabetes;20;15;70,57291666666667
diabetes;20;15;70,18229166666667
diabetes;20;15;72,13541666666667
diabetes;20;15;73,046875
diabetes;20;15;70,703125
diabetes;15;1000;73,30729166666667
diabetes;20;15;71,875
diabetes;20;15;73,828125
diabetes;20;15;68,22916666666667
diabetes;20;15;66,015625
diabetes;20;15;66,796875
diabetes;20;20;74,34895833333333
diabetes;20;20;72,65625
diabetes;20;20;70,703125
diabetes;20;20;66,015625
diabetes;20;20;67,44791666666667
diabetes;15;1000;73,828125
diabetes;20;20;71,35416666666667
diabetes;20;20;69,27083333333333
diabetes;20;20;65,88541666666667
diabetes;20;20;73,56770833333333
diabetes;20;20;70,703125
diabetes;15;1000;71,61458333333333
diabetes;20;20;64,19270833333333
diabetes;20;20;69,01041666666667
diabetes;20;20;72,00520833333333
diabetes;20;20;71,35416666666667
diabetes;20;20;70,57291666666667
diabetes;20;50;67,1875
diabetes;20;50;74,08854166666667
diabetes;20;50;67,1875
diabetes;20;50;73,56770833333333
diabetes;20;50;73,828125
diabetes;20;50;66,27604166666667
diabetes;20;50;68,75
diabetes;20;50;68,22916666666667
diabetes;20;50;73,30729166666667
diabetes;20;50;73,046875
diabetes;20;50;66,40625
diabetes;20;50;73,17708333333333
diabetes;20;50;72,52604166666667
diabetes;20;50;73,046875
diabetes;20;50;72,265625
diabetes;20;100;70,57291666666667
diabetes;20;100;68,88020833333333
diabetes;20;100;75,390625
diabetes;20;100;70,57291666666667
diabetes;20;100;71,484375
diabetes;20;100;74,73958333333333
diabetes;20;100;73,4375
diabetes;20;100;69,40104166666667
diabetes;20;100;72,265625
diabetes;20;100;73,30729166666667
diabetes;20;100;68,22916666666667
diabetes;20;100;71,22395833333333
diabetes;20;100;71,875
diabetes;20;100;71,35416666666667
diabetes;20;100;74,08854166666667
diabetes;20;200;71,35416666666667
diabetes;20;200;73,30729166666667
diabetes;20;200;67,96875
diabetes;20;200;68,359375
diabetes;20;200;73,828125
diabetes;20;200;73,95833333333333
diabetes;20;200;74,609375
diabetes;20;200;73,17708333333333
diabetes;20;200;75,13020833333333
